,company,typeName,cpu,processor,os,screen_size,ram,card,ssd,hdd,hard_driver,made_in,warranty,condition,price
0,HP,Pavilion,Intel,Core i5,Windows,13.6,8.0,Onboard,1,0,256.0,Việt Nam,3 tháng,Đã sử dụng ,7900000
1,HP,Elitebook,Intel,Core i5,Windows,13.0,8.0,Onboard,1,0,256.0,Mỹ,3 tháng,Đã sử dụng ,4900000
2,Dell,Latitude,Intel,Core i5,Windows,13.0,8.0,NVIDIA,0,1,256.0,,1 tháng,Đã sử dụng ,5300000
3,Apple,MacBook Air M2,Khác,,iOS,13.0,16.0,Onboard,1,0,256.0,Việt Nam,4-6 tháng,Đã sử dụng ,27500000
4,Dell,Latitude,Intel,Core i7,Windows,12.5,8.0,Onboard,1,0,256.0,,Còn bảo hành,Đã sử dụng ,5500000
5,Lenovo,ThinkPad,Intel,Core i7,Windows,,8.0,,0,1,256.0,,Bảo hành hãng,Đã sử dụng ,7990000
6,Dell,Precision,Intel,Core i7,Windows,16.0,16.0,NVIDIA,1,0,512.0,Mỹ,1 tháng,Đã sử dụng ,12700000
7,Lenovo,ThinkPad,,,Windows,,,,1,0,,,Còn bảo hành,Đã sử dụng ,6500000
8,Dell,Latitude,Intel,Core i5,Windows,14.0,8.0,Onboard,0,1,256.0,Mỹ,3 tháng,Đã sử dụng ,6300000
9,Apple,MacBook Air,Intel,Core i3,iOS,13.6,8.0,Khác,1,0,256.0,,7-12 tháng,Đã sử dụng ,10345000
10,Dell,Inspiron,AMD,Ryzen 3,Windows,15.0,8.0,AMD,1,0,256.0,Việt Nam,3 tháng,Đã sử dụng ,6999999
11,MSI,GF Series,Intel,Core i7,Windows,15.0,8.0,NVIDIA,1,0,512.0,Việt Nam,Bảo hành hãng,Đã sử dụng ,13900000
12,Dell,Inspiron,,,Windows,,,,1,0,,,Còn bảo hành,Đã sử dụng ,10000000
13,Acer,Swift,Intel,Core i5,Windows,14.0,8.0,NVIDIA,1,0,512.0,Mỹ,1 tháng,Đã sử dụng ,6700000
14,Apple,MacBook Pro M2,Khác,,iOS,14.0,8.0,Onboard,1,0,256.0,,7-12 tháng,Mới,28400000
15,Apple,MacBook Pro M1,Khác,,iOS,13.0,16.0,Khác,1,0,512.0,Việt Nam,4-6 tháng,Đã sử dụng ,32800000
16,Dell,Precision,Intel,Core i7,Windows,16.0,8.0,NVIDIA,0,1,256.0,Mỹ,3 tháng,Đã sử dụng ,7000000
17,Acer,Nitro 5,,,Windows,,,,0,1,,,Bảo hành hãng,Đã sử dụng ,10500000
18,Acer,Nitro 5,,,Windows,,,,1,0,,,Còn bảo hành,Đã sử dụng ,14500000
19,Dell,Vostro,Intel,Core i5,Windows,15.0,8.0,Khác,1,0,512.0,,Còn bảo hành,Đã sử dụng ,8300000
20,HP,Pavilion,Intel,Core i5,Windows,13.6,8.0,Onboard,1,0,256.0,Việt Nam,3 tháng,Đã sử dụng ,6900000
